index,date,Pressure,Humidity,Temperature,NO_s,NO2_s,O3_s,CO_s,NO,NO2,O3,CO,Hour,Day_of_week,Day_of_month,Month,Day,is_weekday,daypart,Season,NO_lag_feature,NO2_lag_feature,CO_lag_feature,O3_lag_feature,NO_rolling_mean,NO2_rolling_mean,CO_rolling_mean,O3_rolling_mean,NO_rolling_min,NO2_rolling_min,CO_rolling_min,O3_rolling_min,NO_rolling_max,NO2_rolling_max,CO_rolling_max,O3_rolling_max,NO_rolling_std,NO2_rolling_std,CO_rolling_std,O3_rolling_std
2120,2019-05-28 14:00:00,100840.42824601367,31.310212984054672,28.630990888382687,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.03806808359908872,0.010294600579132106,0.0019609797863149184,0.06691446998987596,14,1,28,5,Tuesday,1,1,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.0251367794389932,0.006242626225766177,0.08396871733666922,0.0021932464010345804,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.06394935425531885,0.010294600579132106,0.11529482578720661,0.010322410001941111,0.00948751642428437,0.0019836383252521636,0.029658797857072317,0.002680644120255333
2121,2019-05-28 15:00:00,100772.47508896797,36.044464412811394,25.440960854092527,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.09901893973902703,0.009768895842829894,0.006316653633847326,0.09093786828390667,15,1,28,5,Tuesday,1,1,1,0.06394935425531885,0.007686713985178043,0.09912843179669026,0.0030066129889765266,0.026074261993818643,0.006315931593149225,0.08440452496626055,0.0021832877254316096,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.09901893973902703,0.010294600579132106,0.11529482578720661,0.010322410001941111,0.012433990999267331,0.001998942988018965,0.029447676970686457,0.002660710560594203
2122,2019-05-28 16:00:00,100789.95472703062,27.3462586551265,33.347323568575234,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.10290377312472268,0.011360227225673319,0.002803293049267624,0.05757481959097269,16,1,28,5,Tuesday,1,2,1,0.03806808359908872,0.010294600579132106,0.06691446998987596,0.0019609797863149184,0.02705799256514046,0.006408181381756599,0.08449280083863385,0.002158690047392891,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.10290377312472268,0.011360227225673319,0.11529482578720661,0.010322410001941111,0.014977872444486777,0.002050753348352139,0.029353281665469702,0.002627227730038654
2123,2019-05-28 17:00:00,100735.071299964,21.212438242707957,36.05358660424919,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.1151749500000001,0.0124255344827586,0.0032752499999999995,0.049461394230769194,17,1,28,5,Tuesday,1,2,1,0.03806808359908872,0.010294600579132106,0.06691446998987596,0.0019609797863149184,0.028187808575453676,0.00651311339961499,0.08449656186350502,0.0021360588566488896,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.017777488538846208,0.002129892512384365,0.029348721884319272,0.0025937668183537562
2124,2019-05-28 18:00:00,100700.31029517639,22.19838264938805,31.025910727141827,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11517495000000008,0.0124255344827586,0.0032752500000000004,0.0494613942307692,18,1,28,5,Tuesday,1,2,1,0.03806808359908872,0.010294600579132106,0.06691446998987596,0.0019609797863149184,0.029317624585766894,0.00661804541747338,0.08450032288837618,0.002113427665904889,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.02012853217311548,0.0022011379232898696,0.029344160907503043,0.0025596676430671276
2125,2019-05-28 19:00:00,100699.67075471698,23.562529716981132,30.17822169811321,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11053406978773593,0.012049685596652907,0.00327525,0.04917695885580951,19,1,28,5,Tuesday,1,2,1,0.09901893973902703,0.009768895842829894,0.09093786828390667,0.006316653633847326,0.03039219202212459,0.006718503043830512,0.0845011210447582,0.0020907964751608883,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.02196529640042869,0.002254179084210999,0.029343188924094165,0.002524904344801923
2126,2019-05-28 20:00:00,100699.67075471698,23.562529716981132,30.17822169811321,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11053406978773593,0.012049685596652907,0.00327525,0.04917695885580951,20,1,28,5,Tuesday,1,2,1,0.10290377312472268,0.011360227225673319,0.05757481959097269,0.002803293049267624,0.03146675945848228,0.006818960670187643,0.0845019192011402,0.002068165284416887,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.023610452561154734,0.002301567267391344,0.029342216886547888,0.002489449101768778
2127,2019-05-28 21:00:00,100699.67075471698,23.562529716981132,30.17822169811321,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11053406978773593,0.012049685596652907,0.00327525,0.04917695885580951,21,1,28,5,Tuesday,1,2,1,0.1151749500000001,0.0124255344827586,0.049461394230769194,0.0032752499999999995,0.03254132689483997,0.006919418296544776,0.08450271735752218,0.002045534093672886,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.02510170273100418,0.0023436454051847517,0.029341244794858837,0.002453271913722177
2128,2019-05-28 22:00:00,100699.67075471698,23.562529716981132,30.17822169811321,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11053406978773593,0.012049685596652907,0.00327525,0.04917695885580951,22,1,28,5,Tuesday,1,3,1,0.11517495000000008,0.0124255344827586,0.0494613942307692,0.0032752500000000004,0.03361589433119766,0.007019875922901907,0.08450351551390421,0.0020229029029288853,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.02646507652583267,0.00238069507506597,0.02934027264902163,0.0024163403542302796
2129,2019-05-28 23:00:00,100699.67075471698,23.562529716981132,30.17822169811321,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.11053406978773593,0.012049685596652907,0.00327525,0.04917695885580951,23,1,28,5,Tuesday,1,3,1,0.11053406978773593,0.012049685596652907,0.04917695885580951,0.00327525,0.03469046176755536,0.007120333549259038,0.08450431367028621,0.0020002717121848845,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.1151749500000001,0.0124255344827586,0.11529482578720661,0.010322410001941111,0.027719449069380297,0.0024129479173671674,0.02933930044903088,0.0023786192853771913
